ID,Scneario-Order,Result,Extracted_Participant,Mapped_Participant
28,"[2, 3, 4, 5, 1]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Given the humanitarian crisis and urgent need for shelter, entry is approved for Samir and his family.""
}",5,1
29,"[1, 4, 3, 2, 5]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Reuniting with family is a strong moral imperative, and the misunderstanding about the past seems genuine.""
}",3,3
30,"[4, 2, 3, 1, 5]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Due to the urgent humanitarian crisis and the need to provide safety and nourishment for her children.""
}",4,1
31,"[1, 2, 5, 4, 3]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approved entry due to the participant's history of helping marginalized communities and the invitation to collaborate on initiatives supporting vulnerable populations.""
}",4,4
32,"[1, 4, 3, 5, 2]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Due to the imminent danger she faces in her home country and her commitment to education.""
}",5,2
33,"[1, 2, 5, 4, 3]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Given the importance of healthcare advocacy and patient safety, I approve entry for Nila to continue her work in Arstotzka.""
}",4,4
34,"[3, 2, 5, 1, 4]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approve entry to provide safety for children fleeing conflict.""
}",4,1
35,"[1, 4, 2, 5, 3]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Approve entry to protect family from severe winter storm""
}",1,1
36,"[5, 4, 2, 1, 3]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Due to humanitarian reasons and the need to protect vulnerable children fleeing violence.""
}",4,1
37,"[3, 2, 4, 1, 5]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approve entry to seek medical treatment for father""
}",4,1
38,"[4, 5, 3, 2, 1]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Approve entry for Salma and her children due to urgent humanitarian reasons.""
}",5,1
39,"[2, 3, 5, 1, 4]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approve entry to help a sick individual in need of medical care.""
}",4,1
40,"[2, 3, 4, 1, 5]","{
  ""decision"": ""5"",
  ""reason"": ""Approve entry to support a noble cause and potential partnership with Arstotzka's Educational Reform Agency.""
}",5,5
41,"[3, 4, 1, 2, 5]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approve entry for Jarek and his family due to urgent humanitarian needs.""
}",3,1
42,"[5, 1, 3, 4, 2]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approving entry to reunite with family member and ensure safety""
}",3,3
43,"[3, 2, 5, 4, 1]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Due to the urgent humanitarian situation and the need to ensure the survival of his pregnant wife and unborn child.""
}",5,1
44,"[3, 1, 2, 5, 4]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Allowing Clara to reunite with her gravely ill childhood friend is a compassionate exception.""
}",1,3
45,"[4, 2, 5, 3, 1]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Allow entry for Anton to reunite with his partner after a long-distance relationship.""
}",4,3
46,"[2, 1, 3, 5, 4]","{
    ""decision"": ""participant 4"",
    ""reason"": ""Allow entry for Mira to continue her groundbreaking vaccine research and potentially save lives.""
}",4,5
47,"[3, 2, 4, 5, 1]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Allow entry for the human rights advocate to speak at an international conference and amplify the voices of those who have suffered.""
}",4,5
48,"[5, 4, 1, 3, 2]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Approve entry for Amir to share his groundbreaking renewable energy solution at the Environmental Conference.""
}",1,5
49,"[2, 3, 1, 4, 5]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Grant asylum to Sofia fleeing violence and persecution.""
}",1,2
50,"[4, 1, 3, 2, 5]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Allow entry to rebuild his life and provide for his family after losing everything in a violent protest.""
}",4,2
51,"[2, 1, 5, 3, 4]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Given the urgent need for social services reform and the potential impact on vulnerable individuals, Elena should be allowed entry despite her missing identification.""
}",5,4
52,"[4, 3, 5, 2, 1]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Allow entry to Tariq to share his app and help refugees in need.""
}",3,5
53,"[1, 2, 5, 4, 3]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Sofia's activism for women's rights aligns with Arstotzka's values, and her invitation to speak at a conference can benefit the society.""
}",4,4
54,"[2, 4, 3, 1, 5]","{
	""decision"": ""participant 4"",
	""reason"": ""Emergency medical situation requiring immediate assistance.""
}",4,1
55,"[2, 5, 3, 1, 4]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Zara's expertise in public health reform aligns with Arstotzka's goals, and her past actions demonstrate a commitment to helping marginalized communities.""
}",5,4
56,"[2, 1, 5, 3, 4]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Approve entry for Malik to continue his work in the pursuit of justice.""
}",5,4
57,"[2, 4, 3, 1, 5]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Allow entry for researcher to contribute to global climate solutions.""
}",5,5
58,"[3, 2, 5, 4, 1]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Allow Alexei entry to share his groundbreaking method for urban farming and help alleviate food shortages in Arstotzka.""
}",3,5
59,"[4, 2, 1, 3, 5]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approve entry to provide aid to family in need of food assistance.""
}",3,1
60,"[1, 3, 2, 4, 5]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Approved entry for Dmitri due to his valuable contribution to mental health research and potential to help others.""
}",5,5
61,"[1, 4, 5, 3, 2]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Due to the immediate threat to the safety and well-being of Elena's children, approval for entry is granted.""
}",1,1
62,"[5, 1, 4, 2, 3]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Preserving cultural heritage and collaborating with Arstotzka's Cultural Heritage Institute can benefit both nations.""
}",1,5
63,"[3, 4, 5, 1, 2]","{
    ""decision"": ""participant 4"",
    ""reason"": ""Humanitarian grounds - urgent medical assistance needed for participant's mother""
}",4,1
64,"[3, 4, 2, 5, 1]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Approve entry for emergency humanitarian reasons""
}",5,1
65,"[1, 3, 5, 4, 2]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Approving entry due to urgent medical need for her daughter.""
}",1,1
66,"[5, 2, 4, 1, 3]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Given the urgent humanitarian situation and the potential for Arstotzka's job programs and food aid to help his family survive, entry should be approved.""
}",4,1
67,"[4, 5, 3, 1, 2]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Approving entry for Elena to showcase her revolutionary farming method at the Agricultural Expo to help end food shortages.""
}",2,5
68,"[4, 5, 3, 2, 1]","{
    ""decision"": ""participant 2"",
    ""reason"": ""Approved entry for Amir to present teaching methods at Education Conference.""
}",2,5
69,"[2, 1, 5, 3, 4]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Given the urgent humanitarian situation and the need for food assistance, entry should be approved for the family in need.""
}",2,1
70,"[3, 5, 4, 2, 1]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Grant passage to share experiences and train journalists to uphold press freedom.""
}",3,4
71,"[3, 2, 1, 5, 4]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approving entry for humanitarian reasons to provide food aid for starving children.""
}",3,1
72,"[4, 1, 2, 3, 5]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Urgent humanitarian situation with sick grandmother in need of medical help due to natural disaster.""
}",2,1
73,"[5, 1, 3, 2, 4]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Given the circumstances of being injured and fearing retaliation, entry is approved for safety and protection.""
}",4,2
74,"[1, 3, 2, 4, 5]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Amir's work as a historian and the invitation to present his findings at a symposium on historical justice align with Arstotzka's values, warranting an exception despite the lost passport.""
}",4,4
75,"[2, 3, 4, 5, 1]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Granting entry to Zainab to continue her important mental health work and seek refuge from government oppression.""
}",3,4
76,"[2, 5, 4, 3, 1]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Farid's innovative work and potential collaboration with Arstotzka's tech community could benefit both parties and contribute positively to society.""
}",3,4
77,"[1, 5, 3, 4, 2]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Advocating for accessible education and invited by Arstotzka's educational reform committee""
}",4,4
78,"[2, 4, 5, 1, 3]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Rami's expertise in renewable energy research is valuable to Arstotzka's scientific community and aligns with the nation's interests.""
}",2,4
79,"[4, 2, 1, 3, 5]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Allow entry for Viktor due to the potential positive impact of his sustainable farming method on global hunger crisis.""
}",5,5
80,"[5, 4, 2, 1, 3]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Due to the immediate threat to his family's safety and the lack of time to gather proper documentation, entry is approved for humanitarian reasons.""
}",3,2
81,"[2, 5, 1, 4, 3]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Grant temporary shelter and food to protect children from violence and hunger.""
}",3,1
82,"[1, 3, 2, 4, 5]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Approve entry for Zainab to ensure survival and access to food aid in a natural disaster situation.""
}",1,1
83,"[2, 1, 5, 4, 3]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Jorge's evidence could benefit Arstotzka's environmental protection efforts.""
}",4,4
84,"[1, 3, 5, 2, 4]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Approve entry for humanitarian assistance and survival after natural disaster.""
}",1,1
85,"[4, 5, 2, 3, 1]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Humanitarian grounds and urgent need for medical care and support""
}",5,1
86,"[3, 5, 1, 4, 2]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approving entry for humanitarian reasons to provide for her starving children.""
}",3,1
87,"[1, 4, 5, 2, 3]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Tara is a journalist dedicated to exposing corruption and has a job offer in Arstotzka's leading news outlet, which aligns with the country's values of freedom of the press.""
}",3,5
88,"[4, 3, 5, 1, 2]","{
    ""decision"": ""participant 3"",
    ""reason"": ""Promoting cultural exchange and fostering peace through food is a valuable cause.""
}",3,5
89,"[2, 4, 1, 3, 5]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Given the urgent humanitarian situation and the need for temporary refuge for the participant and their children, entry should be approved.""
}",3,1
90,"[2, 1, 3, 5, 4]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Allow entry to Amir to contribute to a better future through sustainable housing designs.""
}",4,5
91,"[2, 4, 3, 5, 1]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Granting entry to Elara to share groundbreaking renewable energy research at Arstotzka's Energy Innovations Forum.""
}",4,5
92,"[3, 1, 4, 2, 5]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Sana's dedication to environmental activism aligns with Arstotzka's values and her potential collaboration on sustainable projects is beneficial.""
}",3,4
93,"[4, 1, 3, 5, 2]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Promoting cultural exchange and preserving traditional art forms is valuable for societal enrichment.""
}",4,5
94,"[4, 2, 1, 5, 3]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Given the immediate danger and threats faced by the participant, approval for entry is granted based on humanitarian grounds.""
}",2,2
95,"[3, 1, 4, 5, 2]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approve entry to Rania to present her mobile clinic concept at the Health Leadership Conference and seek support for expansion to help improve healthcare access.""
}",4,5
96,"[2, 4, 3, 1, 5]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Approve entry to support technological innovation and social change advocacy.""
}",5,5
97,"[1, 4, 3, 2, 5]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Allowing entry for Sofia to participate in Arstotzka's Literary Festival can promote cultural exchange and understanding.""
}",5,5
98,"[2, 5, 1, 4, 3]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Due to the dire conditions in the refugee camp and the need to provide a safe environment for her infant son.""
}",3,1
99,"[1, 3, 4, 2, 5]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Promoting cultural diversity and unity through art aligns with Arstotzka's values and can contribute positively to society.""
}",5,5
